,Product Name,Price,Description,Ratings
15,"Godrej 6 kg 5 Star with i-Wash technology Washing Machine Fully Automatic Top Load Black, Grey","₹12,990",720 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Wash Motor,4.3
16,Godrej 6 kg Fully Automatic Top Load Grey,"₹12,690",670 rpm Max Speed5 Star Rating2 Years on Product and 10 Years on Motor from Godrej,4.2
17,Whirlpool 7.5 kg Magic Clean 5 Star Fully Automatic Top Load Grey,"₹17,290",740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor,4.3
18,LG 6.5 kg with Smart Diagnosis and Smart Inverter Fully Automatic Top Load Silver,"₹16,990",700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from LG,4.3
19,Whirlpool 6 kg Magic Clean 5 Star Fully Automatic Top Load Grey,"₹13,990",740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor,4.3
20,Godrej 7 kg 5 Star with Turbo 6 Pulsator Washing Machine Fully Automatic Top Load Grey,"₹14,890",670 rpm Max Speed5 Star Rating2 Years on Product and 10 Years on Motor from Godrej,4.3
21,"IFB 7 kg 5 Star Aqua Conserve Hard Water Wash, Smart Sense Fully Automatic Top Load Grey, White","₹18,690",720 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty + 10 years Motor Warranty + 10 years Spares Support,4.3
22,BOSCH 7 kg 5 Star With� Vario Drum & Anti Tangle Program Fully Automatic Top Load White,"₹19,990",680 rpm Max Speed5 Star Rating2 Years Warranty on Product and 10 Years on Motor,3.9
23,"Whirlpool 8 kg 5 Star Magic Clean and Faster Drying Semi Automatic Top Load Black, Grey","₹12,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor,4.27391304347826
24,"Whirlpool 7.5 kg 5 Star, Hard Water wash Fully Automatic Top Load Grey","₹17,790",740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 10 Years Warranty on Motor and Prime Mover from Whirlpool,4.3
25,Whirlpool 6.5 kg 5 Star Fully Automatic Top Load with In-built Heater Grey,"₹16,990",740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor,4.3
26,Godrej 7.5 kg Fully Automatic Top Load Grey,"₹15,990",670 rpm Max Speed5 Star Rating2 Years Warranty on Product? and 10 Years Warranty on Motor,4.3
27,Whirlpool 7.5 kg Fully Automatic Top Load Grey,"₹23,333",740 rpm Max Speed2 Years Comprehensive Warranty and 10 Years Warranty on Motor from Whirlpool,4.2
28,"SAMSUNG 9.5 kg Semi Automatic Top Load White, Blue","₹16,000",1300 rpm Max Speed2 Years Comprehensive Warranty and 5 Years Warranty on Motor from Samsung,4.4
29,"Whirlpool 7.5 kg 5 Star, Hard Water wash Fully Automatic Top Load Grey","₹17,290",740 rpm Max Speed5 Star Rating2 Years on Product and 5 Years on Motor,4.3
30,"Whirlpool 9.5 kg 5 Star, Hard Water wash Semi Automatic Top Load Purple, White","₹15,412",1400 rpm Max Speed2 Years Comprehensive Warranty on Product and 10 Years on Wash Motor and Prime Mover from Whirlpool,4.4
31,"Godrej 6 kg 5 Star with i-Wash technology Washing Machine Fully Automatic Top Load Black, Grey","₹12,990",720 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Wash Motor,4.2
32,Whirlpool 11 kg Semi Automatic Top Load Grey,"₹15,980",1400 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Motor and Prime Mover From Whirlpool,4.5
33,BOSCH 6.5 kg 5 Star With Vario Drum & Anti Tangle Program Fully Automatic Top Load Grey,"₹18,990",680 rpm Max Speed5 Star Rating2 Years Warranty on Product and 10 Years on Motor,4.3
34,"Whirlpool 8.5 kg 5 Star, Power Dry Technology Semi Automatic Top Load Maroon","₹13,680","1450 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor, Spin motor and Prime Mover from Whirlpool",4.3
35,Godrej 7 kg Fully Automatic Top Load Grey,"₹13,990",720 rpm Max Speed2 Years Comprehensive Warranty and 8 Years on Wash Motor,4.2
36,Voltas Beko 8 kg Fully Automatic Top Load Grey,"₹18,290",700 rpm Max Speed5 Star Rating3 Years Comprehensive Warranty on Product and 12 Years Warranty on Motor,4.2
37,Whirlpool 10.5 kg With In-Built Heater Semi Automatic Top Load with In-built Heater Grey,"₹17,890",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years on Wash Motor and Prime Mover from Whirlpool,4.3
38,"Whirlpool 7 kg 5 Star, Hard Water wash Fully Automatic Top Load Grey","₹16,990",740 rpm Max Speed5 Star Rating2 Years on Product and 5 Years on Motor,4.3
39,Godrej 6 kg Fully Automatic Top Load Grey,"₹12,690",670 rpm Max Speed5 Star Rating2 Years on Product and 10 Years on Motor from Godrej,4.3
40,"Voltas Beko 14 kg Semi Automatic Top Load Grey, White","₹16,790",1300 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years only Motor Warranty,3.8
41,"Voltas Beko 14 kg Semi Automatic Top Load White, Maroon","₹16,290",750 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years on Motor from Lloyd,4.4
42,LG 6.5 kg Fully Automatic Top Load Silver,"₹17,979",700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 10 Years Warranty on Motor from LG,4.3
43,"Whirlpool 6 kg Magic Clean 5 Star Semi Automatic Top Load Black, Grey","₹8,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor,4.4
44,ONIDA 8 kg 5 Star With Hexa Crystal Drum Technology Fully Automatic Top Load Black,"₹15,690",700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor from Onida,4.5
45,"Godrej 8 kg 5 Star with Tri- Roto Scrub Pulsator Washing Machine Semi Automatic Top Load Black, White","₹14,390",1440 rpm Max Speed5 Star Rating2 Years Warranty on Entire Washing Machine and 5 Years Warranty on Wash Motor from Godrej,4.3
46,"SAMSUNG 8 kg 5 Star Hexa Storm Pulsator Semi Automatic Top Load White, Grey","₹12,990",1350 rpm Max Speed5 Star Rating2 Years on Product and 5 Years on Motor From Samsung,4.4
47,"Whirlpool 8 kg 5 Star Magic Clean and Faster Drying Semi Automatic Top Load Black, Grey","₹12,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor,3.9
48,SAMSUNG 7 kg Fully Automatic Top Load Grey,"₹19,890","700 RPM Max Speed5 Star Rating3 Years warranty on product, 12 Years warranty on Digital Inverter Motor",4.3
49,"SAMSUNG 11.5 Kg Semi Automatic Top Load Blue, Grey","₹18,500",1300 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor By Samsung,4.4
50,"Lloyd 7.5 kg Semi Automatic Top Load Black, Orange","₹13,000",600 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years on Motor from Lloyd,4.4
51,Equator 8 kg Fully Automatic Top Load Beige,"₹19,990",800 RPM Max Speed2 Star Rating2 Years Warranty on Parts and Labour from Equator,4.2
52,Panasonic 6.7 kg Fully Automatic Top Load with In-built Heater Grey,"₹16,990",702 rpm Max Speed2 Years Comprehensive Warranty on Product and 12 Years on Motor,4.5
53,"LG 10 kg White with Roller Jet Pulsator, Soak and Smart Filter Semi Automatic Top Load Maroon, White","₹18,990",1300 rpm Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Motor from LG,4.4
54,Whirlpool 9 kg Semi Automatic Top Load Grey,"₹15,590",1400 rpm Max Speed2 Years Comprehensive Warranty and 5 Years Warranty on Motor and Prime Mover from Whirlpool,4.2
55,Equator 10.2 kg Fully Automatic Top Load Beige,"₹22,990",800 RPM Max Speed4 Star Rating2 Years Warranty on Parts and Labour from Equator,4.3
56,Whirlpool 6.5 kg Fully Automatic Top Load Grey,"₹15,150",1450 RPM Max Speed5 Star RatingWhirlpool White Magic Classic comes with a 2 year comprehensive warranty and 10 year warranty on motor and prime mover.,4.2
57,Haier 6.5 kg Fully Automatic Top Load Grey,"₹15,490",0 RPM Max Speed2 Years Warranty on Product and 10 Years on Motor,4.2
58,"IFB 6.5 kg 5 Star Aqua Conserve Hard Water Wash, Smart Sense Fully Automatic Top Load Grey","₹19,790",720 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty + 10 years Motor Warranty + 10 years Spares Support,4.2
59,"Godrej 6 kg 5 Star with i-Wash technology Washing Machine Fully Automatic Top Load Black, Grey","₹12,990",720 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Wash Motor,4.5
60,SAMSUNG 7 kg Fully Automatic Top Load Grey,"₹17,400","680 rpm Max SpeedFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",4.4
61,Whirlpool 7.5 kg Fully Automatic Top Load with In-built Heater Grey,"₹19,390",740 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Whirlpool,4.3
62,Whirlpool 6.5 kg Fully Automatic Top Load Grey,"₹14,299",740 RPM Max Speed5 Star Rating2,4.3
63,"Whirlpool 6 kg Magic Clean 5 Star Semi Automatic Top Load Black, Grey","₹8,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor,4.7
64,Whirlpool 8.5 kg Semi Automatic Top Load Silver,"₹13,400",1450 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Motor and Prime Mover From Whirlpool,4.2
65,Voltas Beko 8 kg Semi Automatic Top Load Blue,"₹12,197",1450 RPM Max Speed5 Star Rating5 Years International Warranty,4.6
66,"SAMSUNG 8.5 kg Semi Automatic Top Load Black, Grey","₹15,100","1200 rpm Max Speed5 Star Rating2 Years Warranty on Product, 5 Years Warranty on Motor",4.5
67,Whirlpool 7.5 kg Fully Automatic Top Load Grey,"₹23,333",740 rpm Max Speed2 Years Comprehensive Warranty and 10 Years Warranty on Motor from Whirlpool,4.3
68,Voltas Beko 6.5 kg Fully Automatic Top Load Grey,"₹15,990",700 rpm Max Speed5 Star Rating3 Years Comprehensive and Additional 9 Years On Motor from Voltas Beko,4.3
69,"Whirlpool 10.5 kg 5 Star, Hard Water wash Semi Automatic Top Load Grey","₹17,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 10 Years Warranty on Wash Motor and Prime Mover from Whirlpool,4.301071203528672
70,Panasonic 7 kg Fully Automatic Top Load Silver,"₹15,990",1380 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 8 Years Additional on Motor,4.301071203528672
71,Whirlpool 6 kg Magic Clean 5 Star Fully Automatic Top Load Grey,"₹13,990",740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor,4.3010712035286724
72,Whirlpool 6.5 kg 5 Star Fully Automatic Top Load with In-built Heater Grey,"₹19,090",740 rpm Max Speed5 Star Rating2 Years Warranty on Product and 10 Years on Motor,4.3
73,"Godrej 8.5 kg Semi Automatic Top Load White, Blue, Black","₹15,499",1400 RPM Max Speed5 Star Rating2 Years Warranty on Entire Washing Machine and 5 Years Warranty on Wash Motor from Godrej,4.8
74,Whirlpool 9 kg Semi Automatic Top Load Red,"₹14,501",1400 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor and Prime Mover from Whirlpool,4.2
75,"Godrej 6 kg 5 Star with i-Wash technology Washing Machine Fully Automatic Top Load Black, Grey","₹12,990",720 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Wash Motor,4.3
76,Haier 6.5 kg Fully Automatic Top Load Grey,"₹16,499","800 RPM Max Speed2 years on product, 10 years on motor",4.5
77,"SAMSUNG 8.5 kg Semi Automatic Top Load Maroon, White","₹14,350",1300 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years only Motor Warranty,3.5
78,SAMSUNG 7 kg Fully Automatic Top Load Silver,"₹18,400","700 RPM Max Speed5 Star Rating3 Years warranty on product, 12 Years warranty on Digital Inverter Motor",4.2
79,Godrej 7 kg Fully Automatic Top Load Grey,"₹13,990",720 rpm Max Speed2 Years Comprehensive Warranty and 8 Years on Wash Motor,4.2
80,ONIDA 7.5 kg with Fuzzy Logic and Hydraulic Soft Close Glass Lid Fully Automatic Top Load Grey,"₹14,890",700 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor by Onida,4.3
81,Whirlpool 6.5 kg 5 Star Fully Automatic Top Load with In-built Heater Grey,"₹18,990",740 rpm Max Speed5 Star Rating2 Years Warranty on Product and 10 Years on Motor,4.5
82,"LG 10 kg White�with Roller Jet Pulsator, Soak and Smart Filter Semi Automatic Top Load Grey, White","₹18,990",1300 rpm Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Motor from LG,4.4
83,"Whirlpool 6 kg Magic Clean 5 Star Semi Automatic Top Load Black, Grey","₹8,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor,4.5
84,Godrej 9 kg Semi Automatic Top Load Purple,"₹14,390",1440 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years on Wash Motor from Godrej,4.8
85,Lloyd 9 kg Semi Automatic Top Load Pink,"₹15,549","1300 RPM Max Speed5 Star Rating2 years on product, 5 years on motor",4.3
86,"Voltas Beko 8.5 kg Semi Automatic Top Load Red, White","₹14,590",1300 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and Additional 3 Years on Wash and Spin Motor From Voltas Beko,4.3
87,Godrej 7 kg 5 Star with Turbo 6 Pulsator Washing Machine Fully Automatic Top Load Grey,"₹14,890",670 rpm Max Speed5 Star Rating2 Years on Product and 10 Years on Motor from Godrej,4.3
88,Godrej 7.5 kg Fully Automatic Top Load with In-built Heater Black,"₹18,490",670 rpm Max Speed5 Star Rating2 Years Warranty on Entire Washing Machine and 10 Years on Motor From Godrej,4.0
89,LG 7 kg Semi Automatic Top Load Red,"₹14,199",1300 rpm Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Motor from LG,4.3
90,"Whirlpool 9 kg Semi Automatic Top Load Purple, White","₹15,200",1400 RPM Max Speed5 Star Rating(2 + 8) Years Warranty. 2 Years Comprehensive Warranty and 8 Years Extended Warranty on Wash Motor and Prime Mover.,4.0
91,Godrej 6 kg Fully Automatic Top Load Grey,"₹12,690",670 rpm Max Speed5 Star Rating2 Years on Product and 10 Years on Motor from Godrej,4.3
92,IFB 6.5 kg Fully Automatic Top Load Grey,"₹19,899",720 RPM Max Speed4 Years Super Warranty + 10 Years Spare Parts Support + 10 Years Motor Warranty,4.2
93,Galanz 6 kg Quick Wash Fully Automatic Front Load with In-built Heater White,"₹17,990",800 rpm Max Speed2 years comprehensive warranty on product and 8 years on motor,4.2997540500437035
94,"Whirlpool 7 kg 5 Star, Hard Water wash Fully Automatic Top Load Grey","₹18,490",740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 10 Years Warranty on Motor and Prime Mover from Whirlpool,4.2997540500437035
95,Godrej 6.5 kg with i-wash Technology Washing Machine Fully Automatic Top Load Grey,"₹12,990",700 rpm Max Speed2 Years Comprehensive Warranty on Product  and 10 Years Warranty on Wash Motor,4.2997540500437035
96,Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Grey,"₹16,990",740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor,4.1
97,Lloyd 6 kg Fully Automatic Top Load Grey,"₹18,690",680 rpm Max Speed5 Star Rating2 Years Warranty on Product,4.2
98,Godrej 7 kg Fully Automatic Top Load with In-built Heater Grey,"₹18,490",665 rpm Max Speed5 Star Rating2 Years on Product and 10 Years on Motor From Godrej,4.2
99,"Godrej 6 kg 5 Star with i-Wash technology Washing Machine Fully Automatic Top Load Black, Grey","₹12,990",720 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Wash Motor,4.2
100,SAMSUNG 6.5 kg Fully Automatic Top Load Grey,"₹20,960","700 rpm Max Speed5 Star RatingFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",4.3
101,Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Grey,"₹15,999",800 RPM Max Speed2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier,4.2
102,"BOSCH 7 kg Fully Automatic Top Load White, Grey","₹19,999",680 rpm Max Speed2 Years Comprehensive Warranty on Product and 10 Years on Motor from Bosch,4.4
103,Godrej 7 kg Fully Automatic Top Load Grey,"₹13,990",720 rpm Max Speed2 Years Comprehensive Warranty and 8 Years on Wash Motor,4.3
104,Haier 6 kg Fully Automatic Top Load White,"₹16,500",800 RPM Max Speed1 Years Manufacturer Warranty & 10 Years Motors,4.5
105,"Lloyd 7.5 kg Semi Automatic Top Load Grey, Green","₹15,599",1300 RPM Max Speed5 Star Rating2 Years On Product and 5 Years on Motor,4.3
106,SAMSUNG 6.5 kg Fully Automatic Top Load Silver,"₹16,100","680 rpm Max SpeedFor all Fully Automatic Washing Machines with Digital Inverter Motors, sold on or after 1st Dec 2022 (All Fully Automatic Front Load Washing Machine and Top Load Washing Machine) the Warranty period on the Digital Inverter Motor shall be revised from 10 years to 20 years and Comprehensive Product Warranty shall be revised from 3 years to 2 years.",4.6
107,Godrej 6 kg Fully Automatic Top Load Grey,"₹12,690",670 rpm Max Speed5 Star Rating2 Years on Product and 10 Years on Motor from Godrej,4.4
108,LG 8 kg 5 Star Rating Semi Automatic Top Load Red,"₹15,799",1300 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Motor from LG,4.6
109,"SAMSUNG 9.5 kg Semi Automatic Top Load Red, White","₹16,398",1300 rpm Max Speed2 Years Comprehensive Warranty and 5 Years Warranty on Motor from Samsung,3.7
110,Godrej 8 kg Semi Automatic Top Load Red,"₹13,199",1440 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Motor from Godrej,4.4
111,"Whirlpool 6 kg Magic Clean 5 Star Semi Automatic Top Load Black, Grey","₹8,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor,4.3
112,"LG 8.5 kg Semi Automatic Top Load Grey, White","₹15,950",1350 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Motor From LG,4.2
113,"LG 10 kg Semi Automatic Top Load Grey, White","₹17,777",1200 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on product and 5 Years Warranty on Motor from LG,4.3
